Andaman and Nicobar Islands,41,5084,4981,62,2021-04-03
Andhra Pradesh,8815,904548,888508,7225,2021-04-03
Arunachal Pradesh,5,16846,16785,56,2021-04-03
Assam,1909,218533,215517,1107,2021-04-03
Bihar,2364,266677,262733,1580,2021-04-03
Chandigarh,3098,27543,24064,381,2021-04-03
Chhattisgarh,31858,357978,321873,4247,2021-04-03
Dadra and Nagar Haveli and Daman and Diu,202,3703,3499,2,2021-04-03
Delhi,11994,668814,645770,11050,2021-04-03
Goa,1914,58584,55838,832,2021-04-03
Gujarat,13559,312748,294650,4539,2021-04-03
Haryana,11022,294270,280074,3174,2021-04-03
Himachal Pradesh,3338,64420,60026,1056,2021-04-03
Jammu and Kashmir,3215,131938,126720,2003,2021-04-03
Jharkhand,3908,125585,120562,1115,2021-04-03
Karnataka,34238,1006229,959400,12591,2021-04-03
Kerala,26718,1129890,1098526,4646,2021-04-03
Ladakh,278,10189,9781,130,2021-04-03
Lakshadweep,42,733,690,1,2021-04-03
Madhya Pradesh,19336,300834,277484,4014,2021-04-03
Maharashtra,391203,2904076,2457494,55379,2021-04-03
Manipur,57,29406,28975,374,2021-04-03
Meghalaya,64,14082,13868,150,2021-04-03
Mizoram,40,4487,4436,11,2021-04-03
Nagaland,131,12361,12138,92,2021-04-03
Odisha,2421,341772,337430,1921,2021-04-03
Puducherry,1420,41941,39837,684,2021-04-03
Punjab,25458,245768,213327,6983,2021-04-03
Rajasthan,10484,335921,322613,2824,2021-04-03
Sikkim,46,6245,6064,135,2021-04-03
Tamil Nadu,18606,892780,861424,12750,2021-04-03
Telangana,6900,310819,302207,1712,2021-04-03
Tripura,56,33523,33075,392,2021-04-03
Uttarakhand,2404,101275,97150,1721,2021-04-03
Uttar Pradesh,14073,622736,599827,8836,2021-04-03
West Bengal,7692,589922,571895,10335,2021-04-03
Andaman and Nicobar Islands,41,5084,4981,62,2021-04-03
Andhra Pradesh,8815,904548,888508,7225,2021-04-03
Arunachal Pradesh,5,16846,16785,56,2021-04-03
Assam,1909,218533,215517,1107,2021-04-03
Bihar,2364,266677,262733,1580,2021-04-03
Chandigarh,3098,27543,24064,381,2021-04-03
Chhattisgarh,31858,357978,321873,4247,2021-04-03
Dadra and Nagar Haveli and Daman and Diu,202,3703,3499,2,2021-04-03
Delhi,11994,668814,645770,11050,2021-04-03
Goa,1914,58584,55838,832,2021-04-03
Gujarat,13559,312748,294650,4539,2021-04-03
Haryana,11022,294270,280074,3174,2021-04-03
Himachal Pradesh,3338,64420,60026,1056,2021-04-03
Jammu and Kashmir,3215,131938,126720,2003,2021-04-03
Jharkhand,3908,125585,120562,1115,2021-04-03
Karnataka,34238,1006229,959400,12591,2021-04-03
Kerala,26718,1129890,1098526,4646,2021-04-03
Ladakh,278,10189,9781,130,2021-04-03
Lakshadweep,42,733,690,1,2021-04-03
Madhya Pradesh,19336,300834,277484,4014,2021-04-03
Maharashtra,391203,2904076,2457494,55379,2021-04-03
Manipur,57,29406,28975,374,2021-04-03
Meghalaya,64,14082,13868,150,2021-04-03
Mizoram,40,4487,4436,11,2021-04-03
Nagaland,131,12361,12138,92,2021-04-03
Odisha,2421,341772,337430,1921,2021-04-03
Puducherry,1420,41941,39837,684,2021-04-03
Punjab,25458,245768,213327,6983,2021-04-03
Rajasthan,10484,335921,322613,2824,2021-04-03
Sikkim,46,6245,6064,135,2021-04-03
Tamil Nadu,18606,892780,861424,12750,2021-04-03
Telangana,6900,310819,302207,1712,2021-04-03
Tripura,56,33523,33075,392,2021-04-03
Uttarakhand,2404,101275,97150,1721,2021-04-03
Uttar Pradesh,14073,622736,599827,8836,2021-04-03
West Bengal,7692,589922,571895,10335,2021-04-03
